Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonal Tag,Supplier Lead Time (days),Product Rating,Return Rate,Stockout Indicator,Store Type,Customer Footfall
2022-01-10,S002,P0005,Clothing,North,125,43,63,259.01,88.64,43,Sunny,0,104.56,Summer,8,2.4,0.036,0,Small,153
2022-05-30,S002,P0007,Toys,South,234,222,56,265.91,168.45,7,Snowy,0,201.33,Winter,2,1.5,0.091,0,Medium,714
2022-05-05,S004,P0019,Clothing,West,448,223,103,151.7,32.04,8,Rainy,1,30.11,Autumn,13,3.4,0.035,0,Small,750
2022-01-06,S002,P0005,Toys,East,376,170,156,149.8,305.6,3,Sunny,1,304.83,Winter,10,1.7,0.17,0,Small,310
2022-03-10,S003,P0007,Groceries,South,69,7,193,59.42,186.07,49,Rainy,1,161.12,Autumn,12,1.9,0.126,0,Medium,143
2022-02-18,S005,P0011,Clothing,North,104,57,140,113.69,214.88,35,Cloudy,0,204.93,Autumn,14,2.4,0.115,0,Medium,412
2022-02-24,S002,P0012,Electronics,East,140,57,33,192.35,407.92,3,Rainy,1,474.82,Summer,6,3.7,0.184,0,Large,259
2022-04-17,S003,P0008,Toys,East,89,64,137,299.39,239.19,10,Sunny,1,283.38,Spring,13,2.0,0.091,0,Small,998
2022-01-05,S004,P0002,Electronics,East,146,11,70,273.88,260.54,5,Sunny,1,290.49,Spring,11,2.0,0.026,0,Large,772
2022-02-27,S001,P0008,Clothing,North,483,406,43,237.28,81.2,35,Sunny,0,71.42,Autumn,1,1.0,0.025,0,Large,882
2022-02-11,S003,P0017,Groceries,North,211,37,42,264.15,97.55,16,Snowy,1,91.44,Winter,4,4.7,0.11,0,Large,888
2022-06-10,S005,P0012,Clothing,West,78,25,94,229.48,152.92,27,Rainy,1,137.73,Spring,9,3.5,0.103,0,Large,242
2022-02-12,S002,P0007,Clothing,East,205,90,143,249.71,281.71,1,Cloudy,1,310.82,Winter,8,1.7,0.136,0,Medium,323
2022-05-31,S003,P0007,Groceries,West,339,327,96,194.88,478.54,44,Rainy,0,574.03,Spring,10,3.8,0.135,0,Large,255
2022-05-16,S001,P0020,Groceries,South,223,223,9,134.0,329.28,8,Snowy,0,298.85,Summer,13,2.3,0.145,0,Small,561
2022-06-23,S003,P0016,Toys,North,236,184,200,78.59,280.38,46,Sunny,0,248.0,Summer,3,2.6,0.086,0,Medium,296
2022-05-01,S004,P0004,Clothing,North,327,4,138,64.63,459.44,44,Rainy,1,495.43,Summer,1,4.2,0.064,0,Large,967
2022-03-09,S003,P0006,Electronics,North,385,275,109,267.61,434.61,29,Snowy,1,462.85,Spring,13,2.2,0.052,0,Medium,472
2022-04-16,S005,P0018,Clothing,North,89,0,146,72.5,125.49,5,Rainy,1,144.86,Summer,13,3.2,0.145,0,Small,402
2022-01-18,S002,P0010,Electronics,West,412,403,51,251.07,58.1,31,Cloudy,0,51.62,Autumn,4,1.6,0.059,0,Medium,723
2022-01-06,S001,P0005,Clothing,South,360,190,190,250.21,18.23,35,Cloudy,1,16.46,Autumn,6,3.0,0.068,0,Large,183
2022-06-24,S001,P0005,Clothing,East,325,319,25,169.97,177.09,20,Cloudy,0,203.96,Summer,14,2.4,0.191,0,Large,609
2022-03-05,S002,P0009,Electronics,East,373,242,40,236.4,124.92,0,Sunny,1,136.2,Spring,5,1.6,0.066,0,Small,841
2022-02-28,S003,P0007,Groceries,East,110,109,145,149.77,302.61,6,Snowy,1,286.63,Spring,7,3.9,0.14,0,Medium,645
2022-05-02,S003,P0005,Clothing,West,213,68,42,139.38,264.87,2,Rainy,1,235.51,Winter,2,3.3,0.175,0,Small,208
2022-03-22,S004,P0018,Clothing,East,50,12,35,158.84,28.67,49,Cloudy,1,30.88,Autumn,8,4.9,0.048,0,Large,372
2022-06-08,S005,P0008,Groceries,East,87,17,195,91.75,442.07,41,Cloudy,0,393.37,Summer,3,3.4,0.055,0,Small,316
2022-04-20,S003,P0018,Electronics,South,485,155,153,65.5,20.96,24,Sunny,0,20.98,Summer,1,4.6,0.016,0,Large,352
2022-03-22,S001,P0013,Clothing,East,88,37,75,192.13,362.58,20,Rainy,0,425.18,Autumn,9,2.0,0.085,0,Small,795
2022-03-01,S002,P0006,Groceries,West,440,380,21,94.55,126.62,0,Snowy,1,109.62,Autumn,14,4.3,0.04,0,Medium,813
2022-02-14,S002,P0008,Groceries,North,83,3,9,150.34,94.2,32,Sunny,0,87.98,Autumn,9,2.4,0.073,0,Large,181
2022-05-26,S005,P0007,Clothing,East,221,212,17,270.94,64.73,41,Rainy,0,77.35,Winter,12,1.1,0.066,0,Large,306
2022-05-30,S004,P0009,Electronics,East,202,122,144,207.33,407.85,30,Rainy,0,425.11,Summer,2,2.2,0.038,0,Small,488
2022-01-27,S002,P0012,Toys,North,417,149,114,209.45,212.24,26,Sunny,1,232.68,Autumn,14,1.6,0.083,0,Medium,416
2022-06-13,S004,P0018,Electronics,South,386,14,102,222.5,146.67,43,Sunny,1,118.63,Spring,10,4.3,0.118,0,Large,387
2022-03-04,S005,P0002,Electronics,West,190,66,41,74.98,477.57,22,Sunny,1,469.7,Autumn,8,4.1,0.005,0,Small,931
2022-05-03,S001,P0012,Clothing,North,189,145,24,251.23,160.51,39,Sunny,1,180.98,Winter,5,4.0,0.134,0,Small,671
2022-05-20,S005,P0016,Electronics,East,334,184,146,162.11,419.7,48,Cloudy,0,500.87,Spring,5,2.6,0.052,0,Medium,987
2022-03-09,S003,P0011,Electronics,South,461,205,156,153.96,163.08,27,Snowy,1,153.79,Winter,4,2.6,0.059,0,Large,664
2022-01-16,S001,P0004,Toys,East,104,47,186,275.61,329.55,39,Rainy,1,268.22,Summer,4,2.0,0.107,0,Medium,909
2022-06-03,S004,P0010,Electronics,North,248,64,132,175.74,145.04,38,Snowy,0,117.98,Summer,9,1.6,0.192,0,Small,901
2022-01-10,S001,P0007,Electronics,North,112,26,146,183.08,101.05,47,Sunny,1,84.24,Spring,11,3.8,0.046,0,Small,83
2022-04-22,S004,P0007,Toys,South,123,93,115,183.63,136.43,28,Cloudy,1,149.38,Summer,5,2.8,0.062,0,Small,817
2022-01-13,S001,P0012,Toys,North,381,123,24,254.37,296.91,29,Sunny,0,246.22,Winter,11,4.2,0.094,0,Large,118
2022-06-27,S004,P0004,Toys,North,244,29,179,66.69,73.06,7,Cloudy,0,63.26,Autumn,1,4.0,0.164,0,Medium,976
2022-05-07,S001,P0003,Toys,South,255,28,176,197.0,106.0,36,Rainy,0,102.64,Spring,5,4.7,0.086,0,Small,54
2022-01-16,S005,P0015,Electronics,East,277,63,97,108.68,79.28,35,Snowy,1,87.2,Spring,3,1.7,0.04,0,Large,70
2022-04-22,S005,P0018,Toys,South,128,13,10,104.96,215.16,25,Snowy,1,246.54,Winter,9,2.0,0.111,0,Large,196
2022-05-08,S005,P0009,Toys,South,100,53,115,83.78,300.07,1,Snowy,1,298.7,Summer,4,4.1,0.05,0,Small,604
2022-05-18,S001,P0002,Clothing,North,401,356,145,147.45,60.9,10,Rainy,0,50.41,Winter,12,2.4,0.05,0,Large,187
2022-04-15,S005,P0017,Clothing,East,465,457,36,169.74,403.66,19,Rainy,1,323.02,Summer,6,4.9,0.129,0,Medium,465
2022-05-11,S003,P0006,Toys,South,326,50,20,139.41,479.53,16,Rainy,0,389.25,Spring,10,2.1,0.093,0,Large,408
2022-01-11,S004,P0005,Groceries,West,196,176,163,124.0,402.04,34,Sunny,0,325.89,Autumn,5,2.0,0.121,0,Small,426
2022-02-09,S004,P0012,Toys,South,376,238,23,217.67,34.8,47,Cloudy,1,34.7,Summer,6,1.1,0.112,0,Small,869
2022-05-22,S003,P0013,Toys,South,354,94,148,163.05,399.48,23,Rainy,1,381.33,Summer,10,4.3,0.185,0,Medium,234
2022-06-29,S003,P0011,Electronics,North,138,115,79,276.7,38.82,49,Rainy,0,34.93,Winter,2,1.6,0.018,0,Large,813
2022-04-28,S005,P0010,Clothing,North,468,277,75,151.06,66.71,41,Cloudy,0,66.46,Summer,8,1.3,0.061,0,Medium,258
2022-05-15,S004,P0002,Electronics,West,356,139,125,154.69,401.32,31,Snowy,0,330.21,Spring,9,2.7,0.19,0,Small,429
2022-01-07,S005,P0005,Clothing,South,118,45,22,279.91,10.43,29,Cloudy,0,9.33,Winter,11,1.7,0.183,0,Medium,495
2022-06-28,S005,P0008,Toys,East,488,178,0,77.98,135.7,39,Cloudy,1,137.21,Autumn,3,3.3,0.049,0,Small,118
2022-05-24,S001,P0005,Electronics,North,185,57,69,64.34,69.56,24,Snowy,0,82.05,Winter,3,2.7,0.038,0,Large,656
2022-01-29,S002,P0007,Electronics,South,67,63,73,135.73,153.25,2,Cloudy,1,155.07,Autumn,13,1.9,0.037,0,Large,616
2022-02-18,S003,P0015,Clothing,North,258,39,170,63.28,102.4,25,Rainy,1,81.94,Autumn,14,2.6,0.174,0,Small,128
2022-05-08,S003,P0008,Groceries,North,267,89,166,59.23,228.12,17,Sunny,1,264.28,Summer,9,2.2,0.008,0,Large,413
2022-05-10,S003,P0014,Toys,South,101,90,52,142.54,122.73,18,Rainy,1,107.75,Summer,12,1.6,0.169,0,Large,305
2022-06-09,S002,P0013,Toys,East,201,75,135,200.84,451.73,11,Snowy,0,412.52,Autumn,14,1.4,0.155,0,Large,237
2022-05-20,S003,P0007,Toys,South,405,121,161,268.89,238.0,12,Sunny,0,262.03,Summer,7,4.3,0.067,0,Large,266
2022-02-14,S005,P0002,Groceries,West,344,182,163,284.77,464.18,31,Cloudy,1,419.65,Summer,14,4.6,0.138,0,Small,965
2022-05-12,S002,P0009,Electronics,West,99,36,124,213.06,10.04,10,Sunny,0,9.09,Autumn,4,4.4,0.08,0,Medium,169
2022-06-14,S003,P0007,Clothing,East,231,196,178,285.22,416.3,14,Sunny,1,410.03,Spring,5,4.8,0.127,0,Medium,948
2022-04-22,S001,P0005,Clothing,South,430,137,59,160.63,199.21,4,Rainy,0,218.06,Spring,11,4.0,0.191,0,Medium,468
2022-03-23,S005,P0010,Electronics,North,197,156,189,252.66,484.43,35,Rainy,1,452.66,Winter,1,2.5,0.127,0,Large,495
2022-04-17,S004,P0006,Groceries,North,305,264,47,78.5,482.75,47,Cloudy,1,514.69,Summer,8,2.2,0.105,0,Large,141
2022-04-28,S005,P0002,Clothing,North,71,53,161,115.4,363.16,31,Rainy,1,349.88,Summer,7,3.0,0.025,0,Small,951
2022-03-02,S001,P0005,Electronics,South,385,130,76,286.75,247.79,31,Cloudy,0,204.17,Spring,4,5.0,0.018,0,Medium,429
2022-03-16,S002,P0009,Electronics,West,352,247,161,227.07,450.14,50,Rainy,1,396.0,Autumn,3,2.8,0.1,0,Medium,309
2022-06-25,S002,P0014,Toys,North,267,182,141,100.26,403.46,19,Cloudy,1,463.36,Summer,13,1.5,0.026,0,Large,85
2022-04-09,S004,P0007,Toys,East,371,354,153,270.63,306.43,20,Snowy,0,319.31,Summer,8,2.8,0.095,0,Small,123
2022-06-10,S003,P0019,Clothing,South,485,230,130,79.55,304.63,7,Snowy,1,261.79,Spring,12,3.7,0.04,0,Medium,214
2022-01-18,S004,P0003,Electronics,South,237,121,166,151.03,172.99,21,Cloudy,0,204.26,Summer,1,1.7,0.004,0,Large,650
2022-04-02,S003,P0011,Electronics,South,247,67,60,161.91,385.64,12,Sunny,0,452.59,Autumn,10,3.7,0.102,0,Medium,77
2022-02-20,S003,P0003,Clothing,West,87,4,77,169.32,246.82,47,Snowy,1,204.32,Autumn,5,4.0,0.137,0,Small,650
2022-01-03,S002,P0004,Clothing,East,117,31,130,65.48,215.98,27,Snowy,1,217.37,Summer,10,3.1,0.076,0,Small,353
2022-05-19,S002,P0007,Electronics,North,71,9,152,210.36,498.49,17,Sunny,1,556.41,Spring,13,4.5,0.077,0,Small,971
2022-02-02,S005,P0005,Toys,West,109,35,18,202.19,492.39,38,Rainy,0,547.55,Summer,6,4.9,0.158,0,Medium,766
2022-03-07,S005,P0005,Clothing,North,421,175,47,62.86,450.98,34,Rainy,1,517.94,Spring,13,2.5,0.013,0,Small,667
2022-04-15,S004,P0001,Groceries,East,177,20,194,57.46,484.2,2,Rainy,1,524.63,Winter,11,1.1,0.033,0,Small,735
2022-06-18,S001,P0014,Groceries,West,239,101,66,189.46,403.07,10,Cloudy,1,409.35,Autumn,9,1.2,0.041,0,Medium,771
2022-05-03,S001,P0018,Groceries,West,65,6,109,181.91,190.8,11,Snowy,0,214.97,Summer,13,3.0,0.036,0,Small,381
2022-02-16,S001,P0009,Groceries,North,185,98,103,234.09,221.66,43,Rainy,1,233.8,Summer,8,4.2,0.19,0,Small,925
2022-02-14,S004,P0003,Groceries,East,75,0,16,128.88,228.25,32,Rainy,0,231.71,Autumn,8,1.5,0.064,0,Medium,512
2022-02-12,S003,P0002,Groceries,South,125,114,188,146.79,86.94,37,Cloudy,0,85.74,Spring,5,3.6,0.077,0,Medium,575
2022-05-17,S003,P0003,Toys,East,60,32,13,229.35,194.69,10,Sunny,1,172.28,Summer,11,3.6,0.162,0,Large,345
2022-04-14,S004,P0002,Electronics,South,75,4,37,52.06,473.21,50,Sunny,1,426.05,Winter,14,1.6,0.148,0,Small,234
2022-06-27,S003,P0014,Groceries,North,127,19,116,228.34,257.97,36,Snowy,1,289.27,Spring,14,3.2,0.146,0,Medium,387
2022-05-28,S004,P0009,Clothing,West,306,11,80,114.39,44.72,37,Rainy,1,50.95,Summer,11,4.6,0.032,0,Small,576
2022-01-26,S001,P0018,Groceries,West,321,206,82,299.31,386.97,7,Snowy,0,347.13,Summer,9,3.7,0.118,0,Medium,915
2022-06-23,S001,P0019,Groceries,North,226,207,157,140.65,282.56,17,Cloudy,0,335.78,Spring,2,3.4,0.144,0,Large,926
